model,mode,condition,status,records
deepseek/deepseek-v4-flash,adaptive,authority_lawyer,released,926
deepseek/deepseek-v4-flash,adaptive,authority_researcher,included,694
deepseek/deepseek-v4-flash,adaptive,authority_researcher,incomplete,195
deepseek/deepseek-v4-flash,adaptive,authority_researcher,provision_mismatch,37
deepseek/deepseek-v4-flash,adaptive,authority_researcher,released,926
deepseek/deepseek-v4-flash,adaptive,authority_senior_lawyer,included,701
deepseek/deepseek-v4-flash,adaptive,authority_senior_lawyer,incomplete,185
deepseek/deepseek-v4-flash,adaptive,authority_senior_lawyer,provision_mismatch,40
deepseek/deepseek-v4-flash,adaptive,authority_senior_lawyer,released,926
deepseek/deepseek-v4-flash,adaptive,baseline_high,included,742
deepseek/deepseek-v4-flash,adaptive,baseline_high,incomplete,142
deepseek/deepseek-v4-flash,adaptive,baseline_high,provision_mismatch,42
deepseek/deepseek-v4-flash,adaptive,baseline_high,released,926
deepseek/deepseek-v4-flash,static,authority_junior_lawyer,included,868
deepseek/deepseek-v4-flash,static,authority_junior_lawyer,incomplete,9
deepseek/deepseek-v4-flash,static,authority_junior_lawyer,provision_mismatch,49
deepseek/deepseek-v4-flash,static,authority_junior_lawyer,released,926
deepseek/deepseek-v4-flash,static,authority_lawyer,included,866
deepseek/deepseek-v4-flash,static,authority_lawyer,incomplete,10
deepseek/deepseek-v4-flash,static,authority_lawyer,provision_mismatch,50
deepseek/deepseek-v4-flash,static,authority_lawyer,released,926
deepseek/deepseek-v4-flash,static,authority_researcher,included,862
deepseek/deepseek-v4-flash,static,authority_researcher,incomplete,14
deepseek/deepseek-v4-flash,static,authority_researcher,provision_mismatch,50
deepseek/deepseek-v4-flash,static,authority_researcher,released,926
deepseek/deepseek-v4-flash,static,authority_senior_lawyer,included,861
deepseek/deepseek-v4-flash,static,authority_senior_lawyer,incomplete,16
deepseek/deepseek-v4-flash,static,authority_senior_lawyer,provision_mismatch,49
deepseek/deepseek-v4-flash,static,authority_senior_lawyer,released,926
deepseek/deepseek-v4-flash,static,baseline_high,included,863
deepseek/deepseek-v4-flash,static,baseline_high,incomplete,13
deepseek/deepseek-v4-flash,static,baseline_high,provision_mismatch,50
deepseek/deepseek-v4-flash,static,baseline_high,released,926
deepseek/deepseek-v4-pro,adaptive,authority_junior_lawyer,included,476
deepseek/deepseek-v4-pro,adaptive,authority_junior_lawyer,incomplete,231
deepseek/deepseek-v4-pro,adaptive,authority_junior_lawyer,provision_mismatch,29
deepseek/deepseek-v4-pro,adaptive,authority_junior_lawyer,released,736
deepseek/deepseek-v4-pro,adaptive,authority_lawyer,included,482
deepseek/deepseek-v4-pro,adaptive,authority_lawyer,incomplete,230
deepseek/deepseek-v4-pro,adaptive,authority_lawyer,provision_mismatch,24
deepseek/deepseek-v4-pro,adaptive,authority_lawyer,released,736
deepseek/deepseek-v4-pro,adaptive,authority_researcher,included,497
deepseek/deepseek-v4-pro,adaptive,authority_researcher,incomplete,209
deepseek/deepseek-v4-pro,adaptive,authority_researcher,provision_mismatch,30
deepseek/deepseek-v4-pro,adaptive,authority_researcher,released,736
deepseek/deepseek-v4-pro,adaptive,authority_senior_lawyer,included,488
deepseek/deepseek-v4-pro,adaptive,authority_senior_lawyer,incomplete,221
deepseek/deepseek-v4-pro,adaptive,authority_senior_lawyer,provision_mismatch,27
deepseek/deepseek-v4-pro,adaptive,authority_senior_lawyer,released,736
deepseek/deepseek-v4-pro,adaptive,baseline_high,included,502
deepseek/deepseek-v4-pro,adaptive,baseline_high,incomplete,206
deepseek/deepseek-v4-pro,adaptive,baseline_high,provision_mismatch,28
deepseek/deepseek-v4-pro,adaptive,baseline_high,released,736
deepseek/deepseek-v4-pro,static,authority_junior_lawyer,included,649
deepseek/deepseek-v4-pro,static,authority_junior_lawyer,incomplete,48
deepseek/deepseek-v4-pro,static,authority_junior_lawyer,provision_mismatch,39
deepseek/deepseek-v4-pro,static,authority_junior_lawyer,released,736
deepseek/deepseek-v4-pro,static,authority_lawyer,included,658
deepseek/deepseek-v4-pro,static,authority_lawyer,incomplete,42
deepseek/deepseek-v4-pro,static,authority_lawyer,provision_mismatch,36
deepseek/deepseek-v4-pro,static,authority_lawyer,released,736
deepseek/deepseek-v4-pro,static,authority_researcher,included,628
deepseek/deepseek-v4-pro,static,authority_researcher,incomplete,70
deepseek/deepseek-v4-pro,static,authority_researcher,provision_mismatch,38
deepseek/deepseek-v4-pro,static,authority_researcher,released,736
deepseek/deepseek-v4-pro,static,authority_senior_lawyer,included,663
deepseek/deepseek-v4-pro,static,authority_senior_lawyer,incomplete,37
deepseek/deepseek-v4-pro,static,authority_senior_lawyer,provision_mismatch,36
deepseek/deepseek-v4-pro,static,authority_senior_lawyer,released,736
deepseek/deepseek-v4-pro,static,baseline_high,included,664
deepseek/deepseek-v4-pro,static,baseline_high,incomplete,34
deepseek/deepseek-v4-pro,static,baseline_high,provision_mismatch,38
deepseek/deepseek-v4-pro,static,baseline_high,released,736
openai/gpt-5.6-sol,adaptive,authority_junior_lawyer,included,848
openai/gpt-5.6-sol,adaptive,authority_junior_lawyer,incomplete,85
openai/gpt-5.6-sol,adaptive,authority_junior_lawyer,provision_mismatch,45
openai/gpt-5.6-sol,adaptive,authority_junior_lawyer,released,978
openai/gpt-5.6-sol,adaptive,authority_lawyer,included,820
openai/gpt-5.6-sol,adaptive,authority_lawyer,incomplete,107
openai/gpt-5.6-sol,adaptive,authority_lawyer,provision_mismatch,51
openai/gpt-5.6-sol,adaptive,authority_lawyer,released,978
openai/gpt-5.6-sol,adaptive,authority_researcher,included,793
openai/gpt-5.6-sol,adaptive,authority_researcher,incomplete,134
openai/gpt-5.6-sol,adaptive,authority_researcher,provision_mismatch,51
openai/gpt-5.6-sol,adaptive,authority_researcher,released,978
openai/gpt-5.6-sol,adaptive,authority_senior_lawyer,included,840
openai/gpt-5.6-sol,adaptive,authority_senior_lawyer,incomplete,90
openai/gpt-5.6-sol,adaptive,authority_senior_lawyer,provision_mismatch,48
openai/gpt-5.6-sol,adaptive,authority_senior_lawyer,released,978
openai/gpt-5.6-sol,adaptive,baseline_high,included,841
openai/gpt-5.6-sol,adaptive,baseline_high,incomplete,88
openai/gpt-5.6-sol,adaptive,baseline_high,provision_mismatch,49
openai/gpt-5.6-sol,adaptive,baseline_high,released,978
openai/gpt-5.6-sol,static,authority_junior_lawyer,included,922
openai/gpt-5.6-sol,static,authority_junior_lawyer,incomplete,4
openai/gpt-5.6-sol,static,authority_junior_lawyer,provision_mismatch,52
openai/gpt-5.6-sol,static,authority_junior_lawyer,released,978
openai/gpt-5.6-sol,static,authority_lawyer,included,926
openai/gpt-5.6-sol,static,authority_lawyer,provision_mismatch,52
openai/gpt-5.6-sol,static,authority_lawyer,released,978
openai/gpt-5.6-sol,static,authority_researcher,included,923
openai/gpt-5.6-sol,static,authority_researcher,incomplete,4
openai/gpt-5.6-sol,static,authority_researcher,provision_mismatch,51
openai/gpt-5.6-sol,static,authority_researcher,released,978
openai/gpt-5.6-sol,static,authority_senior_lawyer,included,925
openai/gpt-5.6-sol,static,authority_senior_lawyer,incomplete,1
openai/gpt-5.6-sol,static,authority_senior_lawyer,provision_mismatch,52
openai/gpt-5.6-sol,static,authority_senior_lawyer,released,978
openai/gpt-5.6-sol,static,baseline_high,included,926
openai/gpt-5.6-sol,static,baseline_high,provision_mismatch,52
openai/gpt-5.6-sol,static,baseline_high,released,978
qwen/qwen3-235b-a22b,adaptive,authority_junior_lawyer,included,688
qwen/qwen3-235b-a22b,adaptive,authority_junior_lawyer,incomplete,158
qwen/qwen3-235b-a22b,adaptive,authority_junior_lawyer,provision_mismatch,35
qwen/qwen3-235b-a22b,adaptive,authority_junior_lawyer,released,881
qwen/qwen3-235b-a22b,adaptive,authority_lawyer,included,655
qwen/qwen3-235b-a22b,adaptive,authority_lawyer,incomplete,186
qwen/qwen3-235b-a22b,adaptive,authority_lawyer,provision_mismatch,40
qwen/qwen3-235b-a22b,adaptive,authority_lawyer,released,881
qwen/qwen3-235b-a22b,adaptive,authority_researcher,included,662
qwen/qwen3-235b-a22b,adaptive,authority_researcher,incomplete,179
qwen/qwen3-235b-a22b,adaptive,authority_researcher,provision_mismatch,40
qwen/qwen3-235b-a22b,adaptive,authority_researcher,released,881
qwen/qwen3-235b-a22b,adaptive,authority_senior_lawyer,included,683
qwen/qwen3-235b-a22b,adaptive,authority_senior_lawyer,incomplete,156
qwen/qwen3-235b-a22b,adaptive,authority_senior_lawyer,provision_mismatch,42
qwen/qwen3-235b-a22b,adaptive,authority_senior_lawyer,released,881
qwen/qwen3-235b-a22b,adaptive,baseline_high,included,682
qwen/qwen3-235b-a22b,adaptive,baseline_high,incomplete,161
qwen/qwen3-235b-a22b,adaptive,baseline_high,provision_mismatch,38
qwen/qwen3-235b-a22b,adaptive,baseline_high,released,881
qwen/qwen3-235b-a22b,static,authority_junior_lawyer,included,832
qwen/qwen3-235b-a22b,static,authority_junior_lawyer,incomplete,3
qwen/qwen3-235b-a22b,static,authority_junior_lawyer,provision_mismatch,46
qwen/qwen3-235b-a22b,static,authority_junior_lawyer,released,881
qwen/qwen3-235b-a22b,static,authority_lawyer,included,832
qwen/qwen3-235b-a22b,static,authority_lawyer,incomplete,3
qwen/qwen3-235b-a22b,static,authority_lawyer,provision_mismatch,46
qwen/qwen3-235b-a22b,static,authority_lawyer,released,881
qwen/qwen3-235b-a22b,static,authority_researcher,included,833
qwen/qwen3-235b-a22b,static,authority_researcher,incomplete,2
qwen/qwen3-235b-a22b,static,authority_researcher,provision_mismatch,46
qwen/qwen3-235b-a22b,static,authority_researcher,released,881
qwen/qwen3-235b-a22b,static,authority_senior_lawyer,included,834
qwen/qwen3-235b-a22b,static,authority_senior_lawyer,incomplete,1
qwen/qwen3-235b-a22b,static,authority_senior_lawyer,provision_mismatch,46
qwen/qwen3-235b-a22b,static,authority_senior_lawyer,released,881
qwen/qwen3-235b-a22b,static,baseline_high,included,832
qwen/qwen3-235b-a22b,static,baseline_high,incomplete,3
qwen/qwen3-235b-a22b,static,baseline_high,provision_mismatch,46
qwen/qwen3-235b-a22b,static,baseline_high,released,881
qwen/qwen3-32b,adaptive,authority_junior_lawyer,included,704
qwen/qwen3-32b,adaptive,authority_junior_lawyer,incomplete,189
qwen/qwen3-32b,adaptive,authority_junior_lawyer,provision_mismatch,41
qwen/qwen3-32b,adaptive,authority_junior_lawyer,released,934
qwen/qwen3-32b,adaptive,authority_lawyer,included,685
qwen/qwen3-32b,adaptive,authority_lawyer,incomplete,206
qwen/qwen3-32b,adaptive,authority_lawyer,provision_mismatch,43
qwen/qwen3-32b,adaptive,authority_lawyer,released,934
qwen/qwen3-32b,adaptive,authority_researcher,included,707
qwen/qwen3-32b,adaptive,authority_researcher,incomplete,185
qwen/qwen3-32b,adaptive,authority_researcher,provision_mismatch,42
qwen/qwen3-32b,adaptive,authority_researcher,released,934
qwen/qwen3-32b,adaptive,authority_senior_lawyer,included,721
qwen/qwen3-32b,adaptive,authority_senior_lawyer,incomplete,172
qwen/qwen3-32b,adaptive,authority_senior_lawyer,provision_mismatch,41
qwen/qwen3-32b,adaptive,authority_senior_lawyer,released,934
qwen/qwen3-32b,adaptive,baseline_high,included,718
qwen/qwen3-32b,adaptive,baseline_high,incomplete,172
qwen/qwen3-32b,adaptive,baseline_high,provision_mismatch,44
qwen/qwen3-32b,adaptive,baseline_high,released,934
qwen/qwen3-32b,static,authority_junior_lawyer,included,871
qwen/qwen3-32b,static,authority_junior_lawyer,incomplete,14
qwen/qwen3-32b,static,authority_junior_lawyer,provision_mismatch,49
qwen/qwen3-32b,static,authority_junior_lawyer,released,934
qwen/qwen3-32b,static,authority_lawyer,included,867
qwen/qwen3-32b,static,authority_lawyer,incomplete,18
qwen/qwen3-32b,static,authority_lawyer,provision_mismatch,49
qwen/qwen3-32b,static,authority_lawyer,released,934
qwen/qwen3-32b,static,authority_researcher,included,871
qwen/qwen3-32b,static,authority_researcher,incomplete,13
qwen/qwen3-32b,static,authority_researcher,provision_mismatch,50
qwen/qwen3-32b,static,authority_researcher,released,934
qwen/qwen3-32b,static,authority_senior_lawyer,included,867
qwen/qwen3-32b,static,authority_senior_lawyer,incomplete,17
qwen/qwen3-32b,static,authority_senior_lawyer,provision_mismatch,50
qwen/qwen3-32b,static,authority_senior_lawyer,released,934
qwen/qwen3-32b,static,baseline_high,included,875
qwen/qwen3-32b,static,baseline_high,incomplete,10
qwen/qwen3-32b,static,baseline_high,provision_mismatch,49
qwen/qwen3-32b,static,baseline_high,released,934
