cohort,reference_model,comparison_model,input,targets,metric,difference_pp,lower_95,upper_95
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,786,balanced_accuracy,-0.8179519314195858,-3.3980556413309553,1.901280462880687
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,786,accuracy,0.0,-2.710205965015305,2.580728515462196
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,786,balanced_accuracy,-0.8305586248322214,-4.183827569022054,2.449421339493266
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,summary,786,accuracy,-1.2722646310432566,-3.589858793324777,0.8963443398164732
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,summary,786,balanced_accuracy,-0.41898716341982123,-3.0984697425360994,2.0738075424005715
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,786,accuracy,-1.2722646310432566,-4.172464366434974,1.4048531289910642
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,786,balanced_accuracy,2.072688711076829,-1.1988192799666222,5.310887730550653
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,786,accuracy,-1.399491094147578,-3.557814485387553,0.6435421596711928
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,786,balanced_accuracy,0.006303346706317825,-2.3292877670726413,2.4466876088340794
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,786,accuracy,7.888040712468197,4.624907734274711,11.32081472946373
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,786,balanced_accuracy,6.231414396843881,2.406001267769225,10.280914852734233
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,786,accuracy,6.488549618320604,3.633323172796867,9.297745127687097
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,786,balanced_accuracy,9.456132414775048,6.298079633574056,12.658435348419435
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,786,accuracy,17.048346055979636,13.810517060460105,20.68095838587641
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,786,balanced_accuracy,18.799546159037142,14.846012216320808,23.16029228818818
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,786,accuracy,16.539440203562336,13.324665841899849,19.87321219901577
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,786,balanced_accuracy,24.238222011286695,20.66611858230719,27.883501913886338
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,786,accuracy,5.216284987277348,2.0720732705009013,8.546376201614148
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,786,balanced_accuracy,3.5346943618417654,-0.28929073974805825,7.540280850876414
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,786,accuracy,4.452926208651391,1.7834394904458577,6.9445785070785115
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,786,balanced_accuracy,7.851374500367079,4.905650252547396,10.766301751731188
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,786,accuracy,1.653944020356235,-1.656369835572298,5.18364073648571
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,786,balanced_accuracy,-5.6325964597438585,-9.06947608029812,-2.0440767286785886
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,786,accuracy,1.7811704834605564,-0.37978302478568404,4.07124681933842
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,786,balanced_accuracy,1.0018613412038633,-1.697446309734135,3.685109946319421
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,786,accuracy,-1.2722646310432566,-4.203821656050948,1.6519476525384642
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,786,balanced_accuracy,-3.8450414908527293,-7.147542857565582,-0.4612714887662553
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,786,accuracy,-1.399491094147585,-3.6573459223905385,0.9032258064516157
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,786,balanced_accuracy,-0.8242552781259036,-3.268376976954083,1.7911104593188765
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,786,accuracy,1.2722646310432566,-1.5526632605121005,4.342412127269697
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,786,balanced_accuracy,-2.9032473359090503,-6.270771499094926,0.5577264183734818
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,summary,786,accuracy,0.1272264631043214,-2.1879021879021825,2.423624341040766
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,summary,786,balanced_accuracy,-0.42529051012613905,-3.2124578135199333,2.2602894242345926
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,214,accuracy,6.0747663551401985,0.4716981132075514,11.683614145934788
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,214,balanced_accuracy,6.949929927379287,-1.3105088391000115,15.064744217186911
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,214,accuracy,3.738317757009355,-2.262959978511959,9.61805555555554
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,214,balanced_accuracy,14.626067014906369,6.474245991631804,22.03845184077766
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,214,accuracy,13.55140186915888,8.333333333333343,18.868576645509094
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,214,balanced_accuracy,19.38463498534845,11.269440351345386,27.53650001753968
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,214,accuracy,9.81308411214954,3.239997451580027,16.438356164383563
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,214,balanced_accuracy,26.162568480061154,18.02831661227425,33.944818375236096
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,214,accuracy,6.542056074766364,1.8348623853211024,11.26893436088228
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,214,balanced_accuracy,8.778188304242583,2.69470818815331,15.465930501722642
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,214,accuracy,6.074766355140184,0.9302325581395362,11.21611097078386
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,214,balanced_accuracy,14.59421582367181,6.659679049945189,22.197858064835135
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,214,accuracy,7.476635514018696,2.336448598130843,12.906226556639146
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,214,balanced_accuracy,-1.3250095553573686,-7.953701255459582,5.430031849619993
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,214,accuracy,6.542056074766364,2.7777777777777852,10.849056603773576
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,214,balanced_accuracy,5.720473945725573,0.26578610167471484,11.67207624364882
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,214,accuracy,0.46728971962618004,-4.22585038533086,5.213270142180093
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,214,balanced_accuracy,1.828258376863296,-4.940351147916262,8.792993201615237
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,214,accuracy,-1.4018691588784975,-5.963989768739703,2.8436018957345937
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,214,balanced_accuracy,1.3950821760733945,-3.7038653668946107,6.677074602499465
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,214,accuracy,4.205607476635521,-0.4651706150836851,8.638901147396282
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,214,balanced_accuracy,0.40132500955536443,-5.595659744341108,6.298757530120475
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-32b,summary,214,accuracy,2.3364485981308434,-1.8959602798465425,6.726565194894792
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,qwen/qwen3-32b,summary,214,balanced_accuracy,6.08357752579947,-0.2795718022410943,12.754588852046579
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,214,accuracy,3.2710280373831893,-1.932339449541281,8.412202185073049
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,214,balanced_accuracy,10.504522869155316,2.0666299161364914,18.464244369862342
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,214,accuracy,0.46728971962616583,-3.182181403071819,4.166666666666671
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,214,balanced_accuracy,2.5926869664925576,-1.1976047904191631,7.379835578166231
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,214,accuracy,2.803738317757009,-3.317930489731429,8.920187793427218
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,214,balanced_accuracy,-3.554592941776029,-13.889314928425362,7.168185269269928
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,214,accuracy,3.2710280373831893,-2.7152406417112203,8.920187793427232
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,214,balanced_accuracy,12.033380048413811,3.3099355023109727,19.530553043542017
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,214,accuracy,10.280373831775691,4.462434668989555,16.20558785529714
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,214,balanced_accuracy,8.880112116193132,-1.0715374635533497,18.529760751646652
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,214,accuracy,9.345794392523374,2.790697674418609,15.815800912845024
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,214,balanced_accuracy,23.569881513568596,14.46697039773336,32.12312687312685
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,214,accuracy,3.271028037383175,-2.347974100527332,9.047619047619051
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,214,balanced_accuracy,-1.726334564912733,-10.234323353165724,6.886909089807439
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,214,accuracy,5.607476635514018,-0.4608828298344438,11.267605633802816
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,214,balanced_accuracy,12.001528857179252,3.749203627628464,20.000906082571685
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,214,accuracy,4.205607476635507,-2.3812371838687616,10.648148148148138
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,214,balanced_accuracy,-11.829532424512685,-20.013206769506063,-3.769153792159675
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,214,accuracy,6.0747663551401985,1.860465116279073,10.550458715596335
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,214,balanced_accuracy,3.127786979233015,-2.931760654362489,8.913979364065924
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,214,accuracy,-2.803738317757009,-8.336267605633799,2.7400402161618755
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,214,balanced_accuracy,-8.67626449229202,-17.808966012592453,0.11410537338774743
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,214,accuracy,-1.8691588785046633,-6.3084660002468125,2.7906976744186096
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,214,balanced_accuracy,-1.1976047904191631,-7.138605219630664,4.618906360789876
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,214,accuracy,0.9345794392523317,-4.740470305449106,6.5116279069767415
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,214,balanced_accuracy,-10.103197859599952,-18.97505090046598,-2.041535639413017
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-32b,summary,214,accuracy,1.8691588785046775,-2.3696682464454994,6.132802020924617
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,qwen/qwen3-32b,summary,214,balanced_accuracy,3.490890559306912,-3.7917262810424677,10.481353938054461
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,841,accuracy,6.183115338882274,3.3096926713947994,9.286747343565526
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,841,balanced_accuracy,8.035143353038663,4.309979958768717,11.936500974274335
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,841,accuracy,5.231866825208087,2.4880046048872346,7.9764281457517425
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,841,balanced_accuracy,10.142700544180407,7.052446760236486,13.435386934160723
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,841,accuracy,15.69560047562426,12.558870130962738,18.77990430622009
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,841,balanced_accuracy,20.812942880632647,17.124810836423993,24.7243542527438
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,841,accuracy,15.219976218787167,12.091831014300226,18.59391074665862
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,841,balanced_accuracy,24.671142778843517,21.467826970523145,28.264212095094457
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,841,accuracy,3.9239001189060616,0.9591752435372356,6.6591364216786
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,841,balanced_accuracy,5.578827858904589,2.1341960054342515,9.157051401700006
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,841,accuracy,3.448275862068968,0.8274231678487066,6.174370086212346
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,841,balanced_accuracy,8.435448720458318,5.368959568751031,11.642052900383945
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,841,accuracy,0.3567181926278238,-2.256599145345011,2.9588434131189443
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,841,balanced_accuracy,-3.8451500084824346,-6.880201787776635,-0.8066809012161861
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,841,accuracy,0.9512485136742015,-1.0716861263736246,3.099019744496376
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,841,balanced_accuracy,1.5982852444896878,-0.9733543558396883,4.2749455743269165
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,841,accuracy,-2.2592152199762268,-4.642857142857139,0.12358792890600823
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,841,balanced_accuracy,-1.554894361142658,-4.2345367535707785,1.3380801611897828
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,841,accuracy,-2.2592152199762126,-4.389347539998559,-0.11888849534636893
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,841,balanced_accuracy,-0.2528416134883642,-2.67164834122966,2.1975206325742485
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,841,accuracy,0.0,-2.521388990378765,2.644390060240953
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,full_record,841,balanced_accuracy,-1.001579036657148,-4.016324726450948,2.1907724463212275
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,summary,841,accuracy,-0.8323424494649174,-2.8922911271253313,1.303511712770219
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-32b,summary,841,balanced_accuracy,0.19150713176473744,-2.362222615730317,2.76544954267043
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,841,accuracy,-1.1890606420927554,-3.8141781470724583,1.527749678513618
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,full_record,841,balanced_accuracy,2.333972777930015,-0.6484832185564909,5.560121181095827
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,841,accuracy,-1.307966706302011,-3.3456823589650986,0.7134789023227066
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-4.1-mini,summary,841,balanced_accuracy,0.14354878701275453,-2.1727814459608474,2.3935970569666063
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,841,accuracy,7.37217598097503,4.117487018991386,10.540330054177353
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,full_record,841,balanced_accuracy,5.701170575108648,1.8806862441195389,9.605966319763743
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,841,accuracy,6.539833531510098,3.9471328978771494,9.15578843316189
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,anthropic/claude-opus-4.6,summary,841,balanced_accuracy,9.999151757167652,6.836955215166051,13.303337140376046
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,841,accuracy,16.884661117717016,13.484254134294764,20.21154711603371
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,full_record,841,balanced_accuracy,18.478970102702633,14.230738948088584,22.663130258453013
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,841,accuracy,16.527942925089178,13.395820222654148,19.64285714285714
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,openai/gpt-5.6-sol,summary,841,balanced_accuracy,24.527593991830763,21.06989982305931,28.149914389932633
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,841,accuracy,5.112960760998817,1.9867312686047247,8.234410883955514
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,full_record,841,balanced_accuracy,3.244855080974574,-0.5894577727223712,7.087943263743671
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,841,accuracy,4.756242568370979,2.3362446008725666,7.220434082902
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-pro,summary,841,balanced_accuracy,8.291899933445563,5.473856622102172,11.31054697009275
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,841,accuracy,1.5457788347205792,-1.6589652448657213,4.6623610202746875
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,full_record,841,balanced_accuracy,-6.179122786412449,-9.707027213825661,-2.811435368108172
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,841,accuracy,2.2592152199762126,0.11862396204033132,4.453051583302499
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,deepseek/deepseek-v4-flash,summary,841,balanced_accuracy,1.4547364574769333,-1.2268717245457645,4.092852047993568
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,841,accuracy,-1.0701545778834713,-3.905673305317007,1.676747345644841
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,full_record,841,balanced_accuracy,-3.888867139072673,-7.0817118742937515,-0.6771369183092439
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,841,accuracy,-0.9512485136742015,-2.951593860684767,1.283659981581624
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-235b-a22b,summary,841,balanced_accuracy,-0.39639040050111873,-2.662694494347138,2.03149752706371
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,841,accuracy,1.1890606420927554,-1.529683579592962,3.958386482303512
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,full_record,841,balanced_accuracy,-3.3355518145871628,-6.523639808605156,0.040843195390796935
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,qwen/qwen3-32b,summary,841,accuracy,0.47562425683709364,-1.7710086496353405,2.7414405432083284
