scope,model,mode,cue,path,count,cohort_n
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CCWW,36,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CWCC,7,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CWCW,8,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CWWC,16,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CWWW,544,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WCCA,1,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WCCC,169,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WCCW,2,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WCWC,4,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WCWW,7,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WWCC,17,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WWCW,1,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WWWC,8,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,WWWW,6,849
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CACW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CAWW,3,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CCAW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CCCC,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CCCW,3,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CCWC,4,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CCWW,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWAC,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWAW,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWCA,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWCC,12,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWCW,102,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWWA,4,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWWC,30,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,CWWW,256,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WCCA,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WCCC,103,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WCCW,12,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WCWC,30,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WCWW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WWCC,5,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WWCW,5,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WWWC,2,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue,WWWW,2,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CACW,4,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CAWC,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CAWW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCAW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCCC,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCCW,6,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCWA,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCWC,16,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CCWW,26,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWAA,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWAW,7,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWCA,2,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWCC,17,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWCW,93,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWWA,2,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWWC,32,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,CWWW,217,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WAWW,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCAC,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCCA,1,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCCC,88,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCCW,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCWC,33,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WCWW,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WWCC,8,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WWCW,6,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WWWC,3,596
within_model_mode,deepseek/deepseek-v4-flash,adaptive,researcher,WWWW,4,596
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,CAWW,2,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,CCCC,3,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,CCWW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,CWWC,2,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,CWWW,614,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,WCCC,203,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,WCCW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue,WWWW,4,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CAWW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CCCC,3,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CCWC,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CCWW,2,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CWCW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CWWC,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,CWWW,613,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,WCCC,202,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,WCWW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,WWCC,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,WWCW,1,830
within_model_mode,qwen/qwen3-235b-a22b,static,researcher,WWWW,3,830
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CAAC,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CACA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CACC,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CAWC,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CAWW,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CCAA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CCCC,7,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CCCW,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CCWA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CCWC,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWAA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWAC,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWAW,4,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWCA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWCC,15,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWCW,78,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWWA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWWC,15,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,CWWW,272,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCAC,3,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCCC,86,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCCW,9,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCWA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCWC,26,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WCWW,6,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WWCC,4,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WWCW,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue,WWWW,11,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CACC,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CCCC,11,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CCCW,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CCWC,5,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CCWW,3,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWAC,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWAW,3,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWCA,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWCC,10,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWCW,81,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWWA,7,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWWC,23,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,CWWW,254,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WACW,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WAWW,3,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCAC,8,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCCA,4,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCCC,83,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCCW,6,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCWA,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCWC,24,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WCWW,2,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WWCW,3,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WWWC,1,552
within_model_mode,qwen/qwen3-235b-a22b,adaptive,researcher,WWWW,11,552
within_model_mode,qwen/qwen3-32b,static,no_cue,CAWW,1,863
within_model_mode,qwen/qwen3-32b,static,no_cue,CCWC,1,863
within_model_mode,qwen/qwen3-32b,static,no_cue,CCWW,2,863
within_model_mode,qwen/qwen3-32b,static,no_cue,CWWC,1,863
within_model_mode,qwen/qwen3-32b,static,no_cue,CWWW,628,863
within_model_mode,qwen/qwen3-32b,static,no_cue,WCCC,227,863
within_model_mode,qwen/qwen3-32b,static,no_cue,WWWC,1,863
within_model_mode,qwen/qwen3-32b,static,no_cue,WWWW,2,863
within_model_mode,qwen/qwen3-32b,static,researcher,CAWW,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,CCCC,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,CCWW,3,863
within_model_mode,qwen/qwen3-32b,static,researcher,CWCW,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,CWWC,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,CWWW,626,863
within_model_mode,qwen/qwen3-32b,static,researcher,WACC,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,WCCC,224,863
within_model_mode,qwen/qwen3-32b,static,researcher,WCWA,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,WWCC,2,863
within_model_mode,qwen/qwen3-32b,static,researcher,WWWC,1,863
within_model_mode,qwen/qwen3-32b,static,researcher,WWWW,1,863
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CAWW,2,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CCAA,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CCCC,2,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CCCW,2,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CCWC,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CCWW,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWAA,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWAW,8,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWCC,3,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWCW,28,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWWA,6,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWWC,7,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,CWWW,363,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WACW,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCAA,1,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCAC,4,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCCA,2,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCCC,132,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCCW,5,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WCWC,8,589
within_model_mode,qwen/qwen3-32b,adaptive,no_cue,WWCC,2,589
