item_id,article,respondent,substituted_UK,substituted_Russia,substituted_Ukraine,common
001-142305,6,Albania,True,True,True,True
001-142398,8,the Republic of Moldova,True,True,True,True
001-142403,6,Hungary,True,True,True,True
001-142515,6,North Macedonia,True,True,True,True
001-142519,P1-1,Russia,True,False,True,False
001-142521,5,North Macedonia,True,True,True,True
001-144113,P7-4,Finland,True,True,True,True
001-144367,6,Croatia,True,True,True,True
001-144672,5,Slovenia,True,True,True,True
001-145014,P1-1,Ukraine,True,True,False,False
001-145018,3,Sweden,True,True,True,True
001-145068,8,Spain,True,True,True,True
001-145341,3,Denmark,True,True,True,True
001-145349,P1-1,Bosnia and Herzegovina,True,True,True,True
001-145466,14,France,True,True,True,True
001-145466,8,France,True,True,True,True
001-145575,P1-1,Serbia,True,True,True,True
001-145579,13,Ukraine,True,True,False,False
001-145580,6,Ukraine,True,True,False,False
001-145581,6,Ukraine,True,True,False,False
001-145653,8,France,True,True,True,True
001-145779,13,Ukraine,True,True,False,False
001-145787,8,Estonia,True,True,True,True
001-145788,3,Azerbaijan,True,True,True,True
001-146047,38,Poland,True,True,True,True
001-146353,6,Germany,True,True,True,True
001-146399,6,Sweden,True,True,True,True
001-146409,5,Latvia,True,True,True,True
001-146410,10,Hungary,True,True,True,True
001-146697,5,Ukraine,True,True,False,False
001-147037,3,Ukraine,True,True,False,False
001-147045,5,Sweden,True,True,True,True
001-147272,10,Iceland,True,True,True,True
001-147274,8,Hungary,True,True,True,True
001-147286,3,Latvia,True,True,True,True
001-147443,13,Portugal,True,True,True,True
001-147443,6,Portugal,True,True,True,True
001-147875,6,Austria,True,True,True,True
001-148263,6,Slovakia,True,True,True,True
001-148268,8,Latvia,True,True,True,True
001-148636,P1-1,Malta,True,True,True,True
001-148642,6,Norway,True,True,True,True
001-148659,5,the Republic of Moldova,True,True,True,True
001-148673,6,the United Kingdom,False,True,True,False
001-149201,P1-1,Hungary,True,True,True,True
001-150217,13,Romania,True,True,True,True
001-150217,3,Romania,True,True,True,True
001-150234,3,Latvia,True,True,True,True
001-150239,P1-1,Serbia,True,True,True,True
001-150653,3,Ukraine,True,True,False,False
001-150668,P7-4,Finland,True,True,True,True
001-150676,2,Croatia,True,True,True,True
001-150704,8,Austria,True,True,True,True
001-150788,8,Slovenia,True,True,True,True
001-151000,P7-4,Finland,True,True,True,True
001-151051,7,Czechia,True,True,True,True
001-152259,5,Croatia,True,True,True,True
001-152597,2,Ukraine,True,True,False,False
001-152780,6,Montenegro,True,True,True,True
001-153349,3,Armenia,True,True,True,True
001-153767,P1-1,the Republic of Moldova,True,True,True,True
001-153770,2,Switzerland,True,True,True,True
001-153906,38,Russia,True,False,True,False
001-153910,6,Greece,True,True,True,True
001-153919,2,Romania,True,True,True,True
001-153960,6,Luxembourg,True,True,True,True
001-154149,3,Montenegro,True,True,True,True
001-154151,5,Slovakia,True,True,True,True
001-154344,6,Portugal,True,True,True,True
001-154347,13,Portugal,True,True,True,True
001-154354,13,Portugal,True,True,True,True
001-154354,6,Portugal,True,True,True,True
001-154527,2,Ukraine,True,True,False,False
001-155006,5,Slovakia,True,True,True,True
001-155082,6,Belgium,True,True,True,True
001-155102,6,Slovakia,True,True,True,True
001-155352,2,France,True,True,True,True
001-155357,6,Romania,True,True,True,True
001-155374,6,Slovakia,True,True,True,True
001-155819,8,San Marino,True,True,True,True
001-155824,6,Liechtenstein,True,True,True,True
001-155827,6,Estonia,True,True,True,True
001-156069,6,Albania,True,True,True,True
001-156073,34,Ukraine,True,True,False,False
001-156076,5,Slovakia,True,True,True,True
001-156080,13,Hungary,True,True,True,True
001-156080,6,Hungary,True,True,True,True
001-156243,2,Belgium,True,True,True,True
001-156248,3,North Macedonia,True,True,True,True
001-156263,P4-4,Cyprus,True,True,True,True
001-156265,8,Italy,True,True,True,True
001-156267,13,Latvia,True,True,True,True
001-156272,10,Finland,True,True,True,True
001-156272,6,Finland,True,True,True,True
001-156274,P1-1,Serbia,True,True,True,True
001-156275,5,Latvia,True,True,True,True
001-156520,6,Liechtenstein,True,True,True,True
001-157286,7,France,True,True,True,True
001-157538,6,Slovenia,True,True,True,True
001-157670,3,Belgium,True,True,True,True
001-157761,3,Romania,True,True,True,True
001-157967,34,Ukraine,True,True,False,False
001-158037,6,Serbia,True,True,True,True
001-158090,13,Cyprus,True,True,True,True
001-158279,10,Finland,True,True,True,True
001-158472,3,Bulgaria,True,True,True,True
001-158494,3,Russia,True,False,True,False
001-158504,14,Portugal,True,True,True,True
001-158950,6,Spain,True,True,True,True
001-159211,6,Norway,True,True,True,True
001-159375,P1-3,Azerbaijan,True,True,True,True
001-159732,14,Switzerland,True,True,True,True
001-159880,6,Serbia,True,True,True,True
001-159882,13,the Netherlands,True,True,True,True
001-159882,3,the Netherlands,True,True,True,True
001-159906,8,Romania,True,True,True,True
001-159915,6,Hungary,True,True,True,True
001-160223,2,Russia,True,False,True,False
001-160270,10,Estonia,True,True,True,True
001-160619,13,Liechtenstein,True,True,True,True
001-160619,6,Liechtenstein,True,True,True,True
001-160800,4,Switzerland,True,True,True,True
001-161369,6,the Republic of Moldova,True,True,True,True
001-161381,6,Spain,True,True,True,True
001-161527,14,Portugal,True,True,True,True
001-161738,6,the United Kingdom,False,True,True,False
001-161809,6,Albania,True,True,True,True
001-161809,P1-1,Albania,True,True,True,True
001-161975,2,the United Kingdom,False,True,True,False
001-162114,13,Albania,True,True,True,True
001-162179,13,Portugal,True,True,True,True
001-162214,3,Latvia,True,True,True,True
001-162217,P1-1,North Macedonia,True,True,True,True
001-162424,3,Malta,True,True,True,True
001-162864,8,Austria,True,True,True,True
001-163054,2,Ukraine,True,True,False,False
001-163331,P1-1,Albania,True,True,True,True
001-163356,P1-1,Germany,True,True,True,True
001-163358,5,Germany,True,True,True,True
001-163438,6,Bulgaria,True,True,True,True
001-163451,3,the Netherlands,True,True,True,True
001-163662,3,Poland,True,True,True,True
001-163799,6,Georgia,True,True,True,True
001-163822,10,Portugal,True,True,True,True
001-163909,3,Ukraine,True,True,False,False
001-163911,34,Ukraine,True,True,False,False
001-164434,5,the Netherlands,True,True,True,True
001-164454,P1-1,Slovakia,True,True,True,True
001-164470,6,Switzerland,True,True,True,True
001-164515,6,Switzerland,True,True,True,True
001-164682,5,Lithuania,True,True,True,True
001-164917,8,Romania,True,True,True,True
001-164920,P1-1,Serbia,True,True,True,True
001-165230,3,Slovakia,True,True,True,True
001-165250,7,Ukraine,True,True,False,False
001-165750,2,Ukraine,True,True,False,False
001-165755,2,Ukraine,True,True,False,False
001-165758,3,Germany,True,True,True,True
001-165951,3,Estonia,False,False,False,False
001-166689,6,Germany,True,True,True,True
001-166950,8,Germany,True,True,True,True
001-166954,2,Ukraine,True,True,False,False
001-167110,34,Spain,True,True,True,True
001-167490,6,Switzerland,True,True,True,True
001-167797,8,the Republic of Moldova,True,True,True,True
001-167806,13,Greece,True,True,True,True
001-168377,8,Switzerland,True,True,True,True
001-168380,6,Serbia,True,True,True,True
001-168382,6,Lithuania,True,True,True,True
001-168816,5,France,True,True,True,True
001-168853,3,the Republic of Moldova,True,True,True,True
001-168860,6,Armenia,True,True,True,True
001-168864,2,Ukraine,True,True,False,False
001-169210,34,Ukraine,True,True,False,False
001-169520,6,Czechia,True,True,True,True
001-169521,5,Latvia,True,True,True,True
001-169654,13,Sweden,True,True,True,True
001-169662,3,Belgium,True,True,True,True
001-169957,6,Norway,True,True,True,True
001-169957,8,Norway,True,True,True,True
001-170040,P1-1,Serbia,True,True,True,True
001-170050,8,Switzerland,True,True,True,True
001-170349,9,Georgia,True,True,True,True
001-170361,P1-1,Bulgaria,True,True,True,True
001-170451,P1-1,Serbia,True,True,True,True
001-170456,7,Slovenia,True,True,True,True
001-170467,3,Switzerland,True,True,True,True
001-170648,34,Ukraine,True,True,False,False
001-171486,6,Azerbaijan,True,True,True,True
001-171489,11,Azerbaijan,True,True,True,True
001-171507,34,the United Kingdom,False,True,True,False
001-171994,3,Italy,True,True,True,True
001-172091,13,Hungary,True,True,True,True
001-172100,8,Poland,True,True,True,True
001-172317,6,Türkiye,True,True,True,True
001-172459,3,Cyprus,True,True,True,True
001-172460,2,Cyprus,True,True,True,True
001-172463,6,Serbia,True,True,True,True
001-172656,3,Lithuania,True,True,True,True
001-172665,3,San Marino,True,True,True,True
001-172665,5,San Marino,True,True,True,True
001-172855,3,Greece,True,True,True,True
001-173089,6,Armenia,True,True,True,True
001-173091,8,Germany,True,True,True,True
001-173103,8,Austria,True,True,True,True
001-173369,10,Iceland,True,True,True,True
001-173498,P7-4,Iceland,True,True,True,True
001-173624,6,Croatia,True,True,True,True
001-173802,34,the Republic of Moldova,True,True,True,True
001-174119,6,Belgium,True,True,True,True
001-174386,6,Montenegro,True,True,True,True
001-174389,6,Montenegro,True,True,True,True
001-174404,10,Iceland,True,True,True,True
001-174413,P1-1,North Macedonia,True,True,True,True
001-174414,6,North Macedonia,True,True,True,True
001-174419,10,Ireland,True,True,True,True
001-174424,3,Switzerland,True,True,True,True
001-174814,6,North Macedonia,True,True,True,True
001-174965,2,Croatia,True,True,True,True
001-174997,13,Portugal,True,True,True,True
001-175121,10,Finland,True,True,True,True
001-175155,6,Latvia,True,True,True,True
001-175645,5,Slovakia,True,True,True,True
001-175646,6,Portugal,True,True,True,True
001-175658,6,Slovakia,True,True,True,True
001-175667,6,the Netherlands,True,True,True,True
001-176765,6,Montenegro,True,True,True,True
001-176838,5,Germany,True,True,True,True
001-176964,6,Austria,True,True,True,True
001-176969,6,Croatia,True,True,True,True
001-177080,8,Norway,True,True,True,True
001-177118,13,Slovenia,True,True,True,True
001-177124,6,Azerbaijan,True,True,True,True
001-177228,8,Ukraine,True,True,False,False
001-177349,10,Norway,True,True,True,True
001-177650,3,the Republic of Moldova,True,True,True,True
001-178182,6,Ireland,True,True,True,True
001-178352,6,Estonia,True,True,True,True
001-178362,8,Iceland,True,True,True,True
001-178372,6,Latvia,True,True,True,True
001-178700,6,Iceland,True,True,True,True
001-178701,10,Austria,True,True,True,True
001-178877,8,Norway,True,True,True,True
001-178904,8,Montenegro,True,True,True,True
001-178921,2,France,True,True,True,True
001-178921,3,France,True,True,True,True
001-179216,14,Montenegro,True,True,True,True
001-179853,5,Ukraine,True,True,False,False
001-179867,6,Albania,True,True,True,True
001-179878,6,Cyprus,True,True,True,True
001-180281,6,Ireland,True,True,True,True
001-180288,P1-1,Romania,True,True,True,True
001-180296,8,Spain,True,True,True,True
001-180505,8,Hungary,True,True,True,True
001-180841,P1-1,Montenegro,True,True,True,True
001-180843,P1-1,Malta,True,True,True,True
001-181068,6,Ukraine,True,True,False,False
001-181202,8,Lithuania,True,True,True,True
001-181210,10,Ukraine,True,True,False,False
001-181278,P1-1,Malta,True,True,True,True
001-181393,2,Latvia,True,True,True,True
001-181394,5,Germany,True,True,True,True
001-181584,8,Germany,True,True,True,True
001-181595,10,Malta,True,True,True,True
001-181847,3,Romania,True,True,True,True
001-181850,3,Russia,True,False,True,False
001-181859,6,Armenia,True,True,True,True
001-181877,5,Ukraine,True,True,False,False
001-181882,3,Cyprus,True,True,True,True
001-182213,8,Russia,True,False,True,False
001-182605,13,Ukraine,True,True,False,False
001-182853,6,Montenegro,True,True,True,True
001-183126,5,Malta,True,True,True,True
001-183206,6,Russia,True,False,True,False
001-183337,6,Bosnia and Herzegovina,True,True,True,True
001-183338,3,Cyprus,True,True,True,True
001-183373,8,Czechia,True,True,True,True
001-183376,6,Georgia,True,True,True,True
001-183395,6,Ireland,True,True,True,True
001-183395,P1-1,Ireland,True,True,True,True
001-183542,6,Lithuania,True,True,True,True
001-183546,3,Russia,True,False,True,False
001-183558,3,Romania,True,True,True,True
001-183586,13,Ukraine,True,True,False,False
001-183817,6,Austria,True,True,True,True
001-183862,6,Türkiye,True,True,True,True
001-184496,5,Türkiye,True,True,True,True
001-184651,13,the Republic of Moldova,True,True,True,True
001-184651,P1-1,the Republic of Moldova,True,True,True,True
001-184671,3,Malta,True,True,True,True
001-184673,3,Malta,True,True,True,True
001-185031,5,Ukraine,True,True,False,False
001-185308,6,the Netherlands,True,True,True,True
001-186048,8,the United Kingdom,False,True,True,False
001-186116,8,Georgia,True,True,True,True
001-186117,10,Germany,True,True,True,True
001-186126,5,Azerbaijan,True,True,True,True
001-186424,P1-1,Bosnia and Herzegovina,True,True,True,True
001-186770,6,Lithuania,True,True,True,True
001-187195,6,Serbia,True,True,True,True
001-187200,14,Malta,True,True,True,True
001-187251,5,Estonia,True,True,True,True
001-187455,12,France,True,True,True,True
001-187465,34,Ukraine,True,True,False,False
001-187474,8,Slovenia,True,True,True,True
001-187476,7,Iceland,True,True,True,True
001-187510,6,Spain,True,True,True,True
001-187574,13,Hungary,True,True,True,True
001-187686,34,Ukraine,True,True,False,False
001-187818,34,Ukraine,True,True,False,False
001-187923,8,Ukraine,True,True,False,False
001-187931,8,Romania,True,True,True,True
001-188360,P1-1,Lithuania,True,True,True,True
001-188374,8,Ukraine,True,True,False,False
001-188382,34,Ukraine,True,True,False,False
001-188991,14,Latvia,True,True,True,True
001-188997,7,San Marino,True,True,True,True
001-189092,6,Bosnia and Herzegovina,True,True,True,True
001-189092,P1-1,Bosnia and Herzegovina,True,True,True,True
001-189589,6,Armenia,True,True,True,True
001-189621,2,Ukraine,True,True,False,False
001-189740,34,Ukraine,True,True,False,False
001-189741,6,the Republic of Moldova,True,True,True,True
001-189786,13,Ireland,True,True,True,True
001-189786,6,Ireland,True,True,True,True
001-189795,P1-1,Armenia,True,True,True,True
001-190020,34,Ukraine,True,True,False,False
001-190025,13,Ukraine,True,True,False,False
001-191359,34,Ukraine,True,True,False,False
001-191369,P4-2,Ukraine,True,True,False,False
001-191487,5,Montenegro,True,True,True,True
001-191717,8,Ukraine,True,True,False,False
001-191721,3,Montenegro,True,True,True,True
001-192202,P7-4,Iceland,True,True,True,True
001-192424,10,Bulgaria,True,True,True,True
001-192787,6,San Marino,True,True,True,True
001-192892,P1-1,Bosnia and Herzegovina,True,True,True,True
001-192983,P1-1,Bulgaria,True,True,True,True
001-192985,8,North Macedonia,True,True,True,True
001-192995,3,Ukraine,True,True,False,False
001-193083,6,Ireland,True,True,True,True
001-193251,6,Estonia,True,True,True,True
001-193259,6,the Netherlands,True,True,True,True
001-193469,3,Ukraine,True,True,False,False
001-193590,3,Belgium,True,True,True,True
001-193870,6,the Republic of Moldova,True,True,True,True
001-193994,6,Ukraine,True,True,False,False
001-194001,6,Bosnia and Herzegovina,True,True,True,True
001-194106,8,Spain,True,True,True,True
001-194183,P1-1,Ukraine,True,True,False,False
001-194188,18,Ukraine,True,True,False,False
001-194240,3,the Republic of Moldova,True,True,True,True
001-194241,6,the Republic of Moldova,True,True,True,True
001-194303,3,Ukraine,True,True,False,False
001-195540,6,the Republic of Moldova,True,True,True,True
001-195861,6,Serbia,True,True,True,True
001-195869,13,Hungary,True,True,True,True
001-195909,8,Norway,True,True,True,True
001-196149,6,Armenia,True,True,True,True
001-196152,3,Denmark,True,True,True,True
001-196421,P1-1,San Marino,True,True,True,True
001-196423,8,Serbia,True,True,True,True
001-196600,13,Ukraine,True,True,False,False
001-196680,6,San Marino,True,True,True,True
001-196682,3,Ukraine,True,True,False,False
001-196836,5,Belgium,True,True,True,True
001-196879,6,Bosnia and Herzegovina,True,True,True,True
001-196887,6,the Republic of Moldova,True,True,True,True
001-196893,5,Ukraine,True,True,False,False
001-196897,14,the United Kingdom,False,True,True,False
001-197215,P12-1,Bosnia and Herzegovina,True,True,True,True
001-198472,8,Austria,True,True,True,True
001-198485,34,Ukraine,True,True,False,False
001-198718,6,Bosnia and Herzegovina,True,True,True,True
001-198882,6,Ukraine,True,True,False,False
001-198884,3,Ukraine,True,True,False,False
001-198885,P1-1,North Macedonia,True,True,True,True
001-199168,2,Ukraine,True,True,False,False
001-199173,34,Ukraine,True,True,False,False
001-199173,5,Ukraine,True,True,False,False
001-199381,8,Norway,True,True,True,True
001-199382,8,Norway,True,True,True,True
001-200209,P1-1,Ukraine,True,True,False,False
001-200213,34,Ukraine,True,True,False,False
001-200214,3,Ukraine,True,True,False,False
001-200434,6,Azerbaijan,True,True,True,True
001-200450,P1-1,Malta,True,True,True,True
001-200547,2,Cyprus,True,True,True,True
001-200709,5,Ukraine,True,True,False,False
001-200815,6,Latvia,True,True,True,True
001-201139,6,Bosnia and Herzegovina,True,True,True,True
001-201329,6,Iceland,True,True,True,True
001-201351,2,Bulgaria,True,True,True,True
001-201531,6,Montenegro,True,True,True,True
001-201641,6,Ukraine,True,True,False,False
001-201738,P1-1,Armenia,True,True,True,True
001-202222,5,Ukraine,True,True,False,False
001-202411,13,Ireland,True,True,True,True
001-202411,6,Ireland,True,True,True,True
001-202524,14,Azerbaijan,True,True,True,True
001-202524,2,Azerbaijan,True,True,True,True
001-202524,38,Azerbaijan,True,True,True,True
001-202529,P1-1,North Macedonia,True,True,True,True
001-202531,3,Poland,True,True,True,True
001-202619,5,Poland,True,True,True,True
001-202622,3,Romania,True,True,True,True
001-202750,34,Ukraine,True,True,False,False
001-202750,5,Ukraine,True,True,False,False
001-202991,P1-1,Ukraine,True,True,False,False
001-203048,6,Ukraine,True,True,False,False
001-203165,9,Greece,True,True,True,True
001-203187,3,Georgia,True,True,True,True
001-203294,P1-1,Ukraine,True,True,False,False
001-203492,8,Poland,True,True,True,True
001-203559,13,Ukraine,True,True,False,False
001-203645,3,France,True,True,True,True
001-203885,13,Belgium,True,True,True,True
001-203885,P1-3,Belgium,True,True,True,True
001-203931,8,Ukraine,True,True,False,False
001-203976,13,Croatia,True,True,True,True
001-204194,3,Ukraine,True,True,False,False
001-204473,5,Türkiye,True,True,True,True
001-204584,18,Azerbaijan,True,True,True,True
001-204584,5,Azerbaijan,True,True,True,True
001-204584,6,Azerbaijan,True,True,True,True
001-204584,8,Azerbaijan,True,True,True,True
001-204601,6,Lithuania,True,True,True,True
001-204602,3,Denmark,True,True,True,True
001-204660,3,Ukraine,True,True,False,False
001-204812,6,Armenia,True,True,True,True
001-204995,3,Ukraine,True,True,False,False
001-205140,5,Ukraine,True,True,False,False
001-205141,3,Ukraine,True,True,False,False
001-205166,6,San Marino,True,True,True,True
001-205170,8,Estonia,True,True,True,True
001-205538,3,Azerbaijan,True,True,True,True
001-205539,5,Ukraine,True,True,False,False
001-205797,3,Ukraine,True,True,False,False
001-206159,6,Croatia,True,True,True,True
001-206266,11,Russia,True,False,True,False
001-206268,8,Russia,True,False,True,False
001-206342,6,Russia,True,False,True,False
001-206345,3,the Republic of Moldova,True,True,True,True
001-206360,P7-4,Ukraine,True,True,False,False
001-206371,6,Ukraine,True,True,False,False
001-206504,6,Spain,True,True,True,True
001-206511,2,Ukraine,True,True,False,False
001-206516,3,Ukraine,True,True,False,False
001-206525,3,Ukraine,True,True,False,False
001-207136,8,Denmark,True,True,True,True
001-207366,6,Spain,True,True,True,True
001-207474,3,Ukraine,True,True,False,False
001-207667,14,Denmark,True,True,True,True
001-207695,8,Switzerland,True,True,True,True
001-207806,5,the Netherlands,True,True,True,True
001-207848,P1-1,Bosnia and Herzegovina,True,True,True,True
001-207849,P1-1,Bosnia and Herzegovina,True,True,True,True
001-207850,P1-1,Bosnia and Herzegovina,True,True,True,True
001-208280,10,Liechtenstein,True,True,True,True
001-208447,34,Malta,True,True,True,True
001-208534,6,Türkiye,True,True,True,True
001-208547,6,Ireland,True,True,True,True
001-208589,3,Montenegro,True,True,True,True
001-208592,2,Romania,True,True,True,True
001-208764,P1-1,Malta,True,True,True,True
001-209035,8,Austria,True,True,True,True
001-209152,3,Romania,True,True,True,True
001-209154,13,Poland,True,True,True,True
001-209330,13,Ukraine,True,True,False,False
001-209358,6,Norway,True,True,True,True
001-209373,3,the Republic of Moldova,True,True,True,True
001-209438,5,Russia,True,False,True,False
001-209520,3,France,True,True,True,True
001-209992,8,Iceland,True,True,True,True
001-210046,5,Montenegro,True,True,True,True
001-210078,8,Sweden,True,True,True,True
001-210089,P1-3,Spain,True,True,True,True
001-210257,P1-3,Bulgaria,True,True,True,True
001-210282,13,Lithuania,True,True,True,True
001-210304,5,Ukraine,True,True,False,False
001-210322,2,Ukraine,True,True,False,False
001-210332,11,Norway,True,True,True,True
001-210413,11,the Republic of Moldova,True,True,True,True
001-210537,2,the Republic of Moldova,True,True,True,True
001-210680,5,Cyprus,True,True,True,True
001-210689,6,the Republic of Moldova,True,True,True,True
001-211017,13,the Republic of Moldova,True,True,True,True
001-211020,9,the Republic of Moldova,True,True,True,True
001-211138,6,Hungary,True,True,True,True
001-211596,P7-4,Croatia,True,True,True,True
001-211777,10,France,True,True,True,True
001-211795,8,Denmark,True,True,True,True
001-211814,11,Armenia,True,True,True,True
001-211892,2,Russia,True,False,True,False
001-212150,8,Slovakia,True,True,True,True
001-212829,P7-4,Switzerland,True,True,True,True
001-212843,3,Romania,True,True,True,True
001-212897,7,Ukraine,True,True,False,False
001-212970,8,Montenegro,True,True,True,True
001-213203,14,Georgia,True,True,True,True
001-213406,8,Norway,True,True,True,True
001-213407,8,Norway,True,True,True,True
001-213522,8,Denmark,True,True,True,True
001-213525,6,Romania,True,True,True,True
