case_name,article,violation_label,avg_rating,is_accurate,num_abstentions,num_samples,sample_ratings,item_id,respondent,group,decision_date,importance
CASE OF LUBARDA AND MILANOV v. SERBIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242857,SERBIA,,2025-04-29,4
CASE OF RADCHENKO v. UKRAINE,10,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-244728,UKRAINE,,2025-09-11,4
CASE OF ANDERSEN v. POLAND,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242788,POLAND,,2025-04-24,4
CASE OF N.T. v. CYPRUS,14,violation,3.8,False,1,5,"[3, 4, 4, 4, 4]",001-243885,CYPRUS,,2025-07-03,3
CASE OF B.A. v. ICELAND,3,no_violation,1.4,False,0,5,"[1, 2, 2, 1, 1]",001-244593,ICELAND,,2025-08-26,3
CASE OF ZAFFERANI AND OTHERS v. SAN MARINO,6,violation,3.2,False,0,5,"[4, 1, 2, 4, 5]",001-238661,SAN MARINO,,2025-01-09,4
CASE OF PANOPOULOU AND OTHERS v. GREECE,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245463,GREECE,,2025-10-23,4
CASE OF CHONIN AND OTHERS v. BULGARIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244894,BULGARIA,,2025-09-30,4
CASE OF SAKELLARIS AND OTHERS v. GREECE,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245460,GREECE,,2025-10-23,4
CASE OF LASKU AND OTHERS v. ALBANIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-246017,ALBANIA,,2025-11-18,4
CASE OF PETROSYAN v. ARMENIA,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238658,ARMENIA,,2025-01-09,3
CASE OF SADIGOV v. AZERBAIJAN,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242757,AZERBAIJAN,,2025-04-22,4
CASE OF ČERNÝ AND OTHERS v. THE CZECH REPUBLIC,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-247564,CZECH REPUBLIC,,2025-12-18,3
CASE OF KYRIAN v. THE CZECH REPUBLIC,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-245701,CZECH REPUBLIC,,2025-11-06,3
CASE OF I.C. v. THE REPUBLIC OF MOLDOVA,4,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-241986,MOLDOVA,,2025-02-27,3
CASE OF HORA v. THE UNITED KINGDOM,P1-3,no_violation,3.4,True,0,5,"[5, 1, 1, 5, 5]",001-244851,UNITED KINGDOM,,2025-09-23,3
CASE OF B.A. v. ICELAND,14,no_violation,4.0,True,0,5,"[4, 4, 4, 4, 4]",001-244593,ICELAND,,2025-08-26,3
CASE OF TSATANI v. GREECE,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245246,GREECE,,2025-10-14,1
CASE OF AYALA FLORES v. ITALY,8,no_violation,3.4,True,0,5,"[4, 4, 4, 4, 1]",001-245444,ITALY,,2025-10-23,3
CASE OF ASLAN AND OTHERS v. TÜRKİYE,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245821,TURKEY,,2025-11-13,4
CASE OF MONTEIRO AND TRINTA SANTOS v. PORTUGAL,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242073,PORTUGAL,,2025-03-06,4
CASE OF FEDERICI v. FRANCE,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-242768,FRANCE,,2025-04-03,3
"CASE OF SHIPS WASTE OIL COLLECTOR B.V. AND OTHERS v. THE NETHERLANDS

",13,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-242521,NETHERLANDS,,2025-04-01,1
CASE OF FTITI v. GREECE,P7-2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244588,GREECE,,2025-08-26,3
CASE OF MALGAZHDAROV AND OTHERS v. RUSSIA,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238839,RUSSIA,,2025-01-16,4
CASE OF M.L. v. NORTH MACEDONIA,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243782,NORTH MACEDONIA,,2025-06-24,3
CASE OF KASHBULLINA AND OTHERS v. RUSSIA,5,violation,2.6,True,4,5,"[3, 3, 1, 3, 3]",001-245886,RUSSIA,,2025-11-13,4
CASE OF VERVELE v. GREECE,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244594,GREECE,,2025-08-26,3
CASE OF Á.F.L. v. ICELAND,14,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-243562,ICELAND,,2025-06-10,3
CASE OF ABBATE AND OTHERS v. ITALY,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238843,ITALY,,2025-01-16,4
CASE OF ARVANITIS AND PHILELEFTHEROS PUBLIC COMPANY LIMITED v. CYPRUS,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243887,CYPRUS,,2025-07-03,3
CASE OF UMID-T LLC v. AZERBAIJAN,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242855,AZERBAIJAN,,2025-04-29,4
CASE OF VAINIK AND OTHERS v. ESTONIA,41,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-245684,ESTONIA,,2025-11-04,3
CASE OF HAGYÓ v. HUNGARY,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118647,HUNGARY,,2013-04-23,4
CASE OF PYRANTIENĖ v. LITHUANIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-128040,LITHUANIA,,2013-11-12,3
CASE OF MOHAMMED v. AUSTRIA,3,no_violation,4.8,True,0,5,"[4, 5, 5, 5, 5]",001-120073,AUSTRIA,,2013-06-06,4
CASE OF BELTRAM AND BELTRAM CEROVŠEK v. SLOVENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126636,SLOVENIA,,2013-10-10,4
CASE OF BRZUSZCZYŃSKI v. POLAND,6,no_violation,4.8,True,0,5,"[5, 5, 5, 5, 4]",001-126352,POLAND,,2013-09-17,4
CASE OF INSANOV v. AZERBAIJAN,3,violation,1.8,True,0,5,"[1, 1, 1, 5, 1]",001-117132,AZERBAIJAN,,2013-03-14,4
CASE OF N.M.B. v. SWEDEN,3,no_violation,4.8,True,0,5,"[4, 5, 5, 5, 5]",001-121569,SWEDEN,,2013-06-27,4
CASE OF SIZAREV v. UKRAINE,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115883,UKRAINE,,2013-01-17,4
CASE OF MOSKALENKO AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-122434,UKRAINE,,2013-07-18,4
CASE OF JEZNIK v. SLOVENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-120968,SLOVENIA,,2013-06-20,4
CASE OF QAMA v. ALBANIA AND ITALY,8,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-115854,ALBANIA AND ITALY,,2013-01-08,3
CASE OF TARASOV v. UKRAINE,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-127399,UKRAINE,,2013-10-31,4
CASE OF ROZHENKO AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118383,UKRAINE,,2013-04-11,4
CASE OF JASHI v. GEORGIA,3,violation,4.4,False,0,5,"[4, 5, 4, 5, 4]",001-115850,GEORGIA,,2013-01-08,3
CASE OF ABDI v. THE UNITED KINGDOM,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118335,UNITED KINGDOM,,2013-04-09,3
CASE OF TOMIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115876,BOSNIA AND HERZEGOVINA,,2013-01-15,4
CASE OF SCHÄDLER-EBERLE v. LIECHTENSTEIN,6,no_violation,1.2,False,0,5,"[1, 2, 1, 1, 1]",001-122429,LIECHTENSTEIN,,2013-07-18,3
CASE OF RUDNICHENKO v. UKRAINE,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-122187,UKRAINE,,2013-07-11,3
"CASE OF PAPADAKIS v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-116827,NORTH MACEDONIA,,2013-02-26,3
CASE OF GAVULA v. UKRAINE,34,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-119465,UKRAINE,,2013-05-16,4
CASE OF MAJS EKSPORT-IMPORT v. SERBIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-127617,SERBIA,,2013-11-05,4
CASE OF MIJANOVIĆ v. MONTENEGRO,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126349,MONTENEGRO,,2013-09-17,4
CASE OF EREMIA v. THE REPUBLIC OF MOLDOVA,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119968,MOLDOVA,,2013-05-28,3
CASE OF TUNCER GÜNEŞ v. TURKEY,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126133,TURKEY,,2013-09-03,4
CASE OF ROMAN v. FINLAND,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115864,FINLAND,,2013-01-29,3
"CASE OF GRUPA ZASTAVA VOZILA, A.D. v. SLOVENIA",6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118737,SLOVENIA,,2013-04-25,4
CASE OF N.M.Y. AND OTHERS v. SWEDEN,3,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-121573,SWEDEN,,2013-06-27,4
CASE OF BELOUSOV v. UKRAINE,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-127813,UKRAINE,,2013-11-07,4
CASE OF LAY  LAY COMPANY LIMITED v. MALTA,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-122892,MALTA,,2013-07-23,4
CASE OF CLAES v. BELGIUM [Extracts],3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115981,BELGIUM,,2013-01-10,3
CASE OF BUDREVICH v. THE CZECH REPUBLIC,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126918,CZECH REPUBLIC,,2013-10-17,4
CASE OF JULIUS KLOIBER SCHLACHTHOF GMBH AND OTHERS v. AUSTRIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118045,AUSTRIA,,2013-04-04,3
CASE OF ZEYNALOV v. AZERBAIJAN,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119972,AZERBAIJAN,,2013-05-30,4
CASE OF VILNES AND OTHERS v. NORWAY,2,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-138597,NORWAY,,2013-12-05,2
CASE OF DE LUCA v. ITALY (extracts),6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126807,ITALY,,2013-09-24,2
CASE OF GERASHCHENKO v. UKRAINE,34,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-127809,UKRAINE,,2013-11-07,4
"CASE OF VELINOV v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-126360,NORTH MACEDONIA,,2013-09-19,3
CASE OF VARAVA AND OTHERS v. UKRAINE,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115885,UKRAINE,,2013-01-17,4
CASE OF KONONOVA v. UKRAINE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-120067,UKRAINE,,2013-06-06,4
CASE OF MATRAKAS AND OTHERS v. POLAND AND GREECE,6,violation,1.8,True,0,5,"[1, 1, 1, 5, 1]",001-127812,POLAND AND GREECE,,2013-11-07,3
CASE OF D.N.M. v. SWEDEN,2,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-121574,SWEDEN,,2013-06-27,4
CASE OF DELFI AS v. ESTONIA,10,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-126635,ESTONIA,,2013-10-10,3
CASE OF DONOHOE v. IRELAND,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-138919,IRELAND,,2013-12-12,3
CASE OF SAINT-PAUL LUXEMBOURG S.A. v. LUXEMBOURG,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119055,LUXEMBOURG,,2013-04-18,2
CASE OF KRISTIANSEN AND TYVIK AS v. NORWAY,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119049,NORWAY,,2013-05-02,3
CASE OF TRUNK v. SLOVENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118590,SLOVENIA,,2013-04-18,4
CASE OF PUTISTIN v. UKRAINE,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-128204,UKRAINE,,2013-11-21,3
CASE OF BANDALETOV v. UKRAINE,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-127401,UKRAINE,,2013-10-31,3
CASE OF OROŽIM v. SLOVENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118592,SLOVENIA,,2013-04-18,4
CASE OF ROUSK v. SWEDEN,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-123422,SWEDEN,,2013-07-25,3
CASE OF KOMAROVA v. UKRAINE,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119676,UKRAINE,,2013-05-16,4
"CASE OF GRUPA ZASTAVA VOZILA, A.D. v. SLOVENIA",13,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-118737,SLOVENIA,,2013-04-25,4
CASE OF VINTER AND OTHERS v. THE UNITED KINGDOM,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-122664,UNITED KINGDOM,,2013-07-09,1
CASE OF MAKSYMENKO AND GERASYMENKO v. UKRAINE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119688,UKRAINE,,2013-05-16,3
CASE OF T.A. v. SWEDEN,3,no_violation,4.0,True,0,5,"[1, 5, 4, 5, 5]",001-139175,SWEDEN,,2013-12-19,4
CASE OF SARDÓN ALVIRA v. SPAIN,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-126451,SPAIN,,2013-09-24,3
CASE OF VLAD AND OTHERS v. ROMANIA,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-138558,ROMANIA,,2013-11-26,2
CASE OF ZAROCHENTSEV v. UKRAINE,P4-2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115770,UKRAINE,,2013-01-10,4
CASE OF SALAKHOV AND ISLYAMOVA v. UKRAINE,34,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-117134,UKRAINE,,2013-03-14,3
CASE OF KLINOVSKÁ v. SLOVAKIA,13,violation,4.8,False,0,5,"[5, 5, 5, 5, 4]",001-126800,SLOVAKIA,,2013-10-08,4
CASE OF YURIY SLYUSAR v. UKRAINE,2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115884,UKRAINE,,2013-01-17,4
CASE OF SAINT-PAUL LUXEMBOURG S.A. v. LUXEMBOURG,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-119055,LUXEMBOURG,,2013-04-18,2
CASE OF ROONEY v. IRELAND,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-127410,IRELAND,,2013-10-31,4
CASE OF ROUSK v. SWEDEN,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-123422,SWEDEN,,2013-07-25,3
CASE OF LAVRECHOV v. THE CZECH REPUBLIC,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-120969,CZECH REPUBLIC,,2013-06-20,1
CASE OF MEŽNARIČ v. SLOVENIA,13,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-118591,SLOVENIA,,2013-04-18,4
CASE OF TERNOVIK AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-118388,UKRAINE,,2013-04-11,4
CASE OF VARAPNICKAITE-MAZYLIENE v. LITHUANIA,8,no_violation,3.8,True,0,5,"[4, 2, 4, 4, 5]",001-108680,LITHUANIA,,2012-01-17,4
CASE OF RRAPO v. ALBANIA,2,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-113328,ALBANIA,,2012-09-25,4
CASE OF SCOPPOLA v. ITALY (No. 3),P1-3,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-111044,ITALY,,2012-05-22,2
CASE OF M. AND OTHERS v. ITALY AND BULGARIA,3,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-112576,ITALY AND BULGARIA,,2012-07-31,2
CASE OF JULIN v. ESTONIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110949,ESTONIA,,2012-05-29,3
CASE OF AUSTIN AND OTHERS v. THE UNITED KINGDOM,5,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-109581,UNITED KINGDOM,,2012-03-15,1
CASE OF HODE AND ABDI v. THE UNITED KINGDOM,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114244,UNITED KINGDOM,,2012-11-06,3
CASE OF DIMITAR IVANOV v. BULGARIA,P4-2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-109062,BULGARIA,,2012-02-14,4
CASE OF WENERSKI v. POLAND (No. 2),3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-112465,POLAND,,2012-07-24,4
CASE OF H. v. FINLAND,14,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-114486,FINLAND,,2012-11-13,3
CASE OF DRAKSAS v. LITHUANIA,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-112588,LITHUANIA,,2012-07-31,3
CASE OF LEVIN v. SWEDEN,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-109575,SWEDEN,,2012-03-15,4
CASE OF G v. GERMANY,7,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-111369,GERMANY,,2012-06-07,3
CASE OF ANDREŞAN v. ROMANIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114087,ROMANIA,,2012-10-30,4
CASE OF TONIOLO v. SAN MARINO AND ITALY,5,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-111666,SAN MARINO AND ITALY,,2012-06-26,3
CASE OF TARBUK v. CROATIA,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-115166,CROATIA,,2012-12-11,3
CASE OF BALL v. ANDORRA,8,no_violation,2.4,False,0,5,"[4, 1, 1, 2, 4]",001-115165,ANDORRA,,2012-12-11,4
CASE OF HARKINS AND EDWARDS v. THE UNITED KINGDOM,3,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-108599,UNITED KINGDOM,,2012-01-17,3
CASE OF SÝKORA v. THE CZECH REPUBLIC,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114658,CZECH REPUBLIC,,2012-11-22,3
CASE OF HARROUDJ v. FRANCE,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-113819,FRANCE,,2012-10-04,3
CASE OF MILIĆ v. MONTENEGRO AND SERBIA,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115210,MONTENEGRO AND SERBIA,,2012-12-11,4
CASE OF PETA DEUTSCHLAND v. GERMANY,10,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-114273,GERMANY,,2012-11-08,3
CASE OF FALTER ZEITSCHRIFTEN GMBH v. AUSTRIA (No. 2),10,no_violation,1.8,False,0,5,"[1, 5, 1, 1, 1]",001-113137,AUSTRIA,,2012-09-18,3
CASE OF VAN COLLE v. THE UNITED KINGDOM,2,no_violation,1.8,False,0,5,"[1, 1, 1, 5, 1]",001-114473,UNITED KINGDOM,,2012-11-13,3
CASE OF MALKHASYAN v. ARMENIA,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-111628,ARMENIA,,2012-06-26,4
CASE OF MADAH AND OTHERS v. BULGARIA,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110812,BULGARIA,,2012-05-10,4
CASE OF GENDERDOC-M v. MOLDOVA,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-111394,MOLDOVA,,2012-06-12,4
CASE OF HARTMAN v. SLOVENIA,6,violation,4.6,False,0,5,"[4, 5, 5, 4, 5]",001-113806,SLOVENIA,,2012-10-18,4
CASE OF KOTSEV AND ERMENKOVA v. BULGARIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110810,BULGARIA,,2012-05-10,4
CASE OF JIRSÁK v. THE CZECH REPUBLIC,3,no_violation,2.0,False,0,5,"[2, 2, 1, 4, 1]",001-110249,CZECH REPUBLIC,,2012-04-05,3
CASE OF SHUVALOV v. ESTONIA,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-110950,ESTONIA,,2012-05-29,3
CASE OF SETA v. GREECE AND GERMANY,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110702,GREECE AND GERMANY,,2012-05-03,4
CASE OF LEVINTA v. MOLDOVA (No. 2),5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-108607,MOLDOVA,,2012-01-17,4
CASE OF YAVUZDOGAN v. TURKEY,6,violation,1.2,True,0,5,"[1, 1, 1, 1, 2]",001-108859,TURKEY,,2012-01-31,4
