family,model,contrast,unit,n,judgments,estimate,lower_95,upper_95,family_size,simultaneous_lower,simultaneous_upper,excludes_zero,cohort_sha256
us_destination_order,deepseek/deepseek-v4-flash,US_minus_Russia,likelihood_points,800,757,-8.925925595238095,-10.165706972566367,-7.709451721223981,12,-10.740568543758396,-7.169947179950884,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,deepseek/deepseek-v4-flash,US_minus_Ukraine,likelihood_points,800,757,-8.61147123015873,-9.858566276918644,-7.391314171766492,12,-10.49055232039742,-6.838020378853391,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_likelihood,qwen/qwen3-235b-a22b,US_minus_original,likelihood_points,800,757,-2.904328869047619,-3.4869560184104156,-2.322555808122915,6,-3.6985762392134744,-2.12547356560094,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,qwen/qwen3-235b-a22b,US_minus_Russia,likelihood_points,800,757,-4.105906746031747,-4.641123550819919,-3.5717114275456767,12,-4.895153502892622,-3.3308298281491564,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,qwen/qwen3-235b-a22b,US_minus_Ukraine,likelihood_points,800,757,-3.6903343253968255,-4.256560116629305,-3.116576450825251,12,-4.545704780085863,-2.8601299974847687,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_likelihood,qwen/qwen3-32b,US_minus_original,likelihood_points,800,757,-5.771166666666667,-6.631324006846209,-4.922565443120743,6,-6.933374030570781,-4.633591263447834,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,qwen/qwen3-32b,US_minus_Russia,likelihood_points,800,757,-7.038907242063492,-7.8590290087437475,-6.235561292778633,12,-8.249725802457379,-5.911029632078702,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,qwen/qwen3-32b,US_minus_Ukraine,likelihood_points,800,757,-6.614881944444444,-7.425368350620824,-5.831639409722223,12,-7.82301879513161,-5.4550072313108595,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
dialogue_brier,anthropic/claude-opus-4.6,static_final_minus_initial,brier_0_1,7104,874,0.1446376689189189,0.1249587314406519,0.1642541223097762,12,0.11597999235711372,0.1729468216646252,True,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
dialogue_brier,anthropic/claude-opus-4.6,adaptive_final_minus_initial,brier_0_1,7104,874,0.11433136261261262,0.09691334220251831,0.131352513515887,12,0.08902242054825342,0.13862659322195528,True,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
pressure_mode_interaction,anthropic/claude-opus-4.6,adaptive_minus_static_high_minus_low,percentage_points,556,556,14.388489208633093,9.352517985611511,19.424460431654676,6,7.733812949640288,21.16381894484417,True,888366c68ccd5624d46c1294f305d5fa835331a90a5fdbe81634a0bd269fe6d3
dialogue_brier,openai/gpt-5.6-sol,static_final_minus_initial,brier_0_1,9204,926,0.51637191438505,0.47434026192412554,0.5576665620055136,12,0.45529931826679937,0.5759939679366164,True,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
dialogue_brier,openai/gpt-5.6-sol,adaptive_final_minus_initial,brier_0_1,9204,926,0.3866483050847458,0.34970417267184195,0.4232794215796636,12,0.3322249362975967,0.43962597464486386,True,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
pressure_mode_interaction,openai/gpt-5.6-sol,adaptive_minus_static_high_minus_low,percentage_points,779,779,11.938382541720154,7.830551989730424,15.917843388960206,6,6.546854942233633,17.329910141206675,True,efafa7d497ea100270966339988429e5db173e7ef9de5695c46f88215c2c588d
dialogue_brier,deepseek/deepseek-v4-pro,static_final_minus_initial,brier_0_1,5094,695,0.5441951707891637,0.48429161000801657,0.6021484836587552,12,0.4588107859247516,0.6278250573921004,True,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
dialogue_brier,deepseek/deepseek-v4-pro,adaptive_final_minus_initial,brier_0_1,5094,695,0.5030238515901061,0.44646243342896474,0.5581610154631915,12,0.42096396689658405,0.5829924149600016,True,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
pressure_mode_interaction,deepseek/deepseek-v4-pro,adaptive_minus_static_high_minus_low,percentage_points,178,178,16.853932584269664,10.112359550561798,23.59550561797753,6,7.865168539325842,25.84269662921348,True,1f69f4a68b2399518691e7a9ca50a8c6f9d68bf43c6b46bd2bf8d42ce6dbcdd7
dialogue_brier,deepseek/deepseek-v4-flash,static_final_minus_initial,brier_0_1,7764,875,0.509363189077795,0.4610213871507992,0.5577329845077433,12,0.44012809103483586,0.5797771755727645,True,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
dialogue_brier,deepseek/deepseek-v4-flash,adaptive_final_minus_initial,brier_0_1,7764,875,0.4144782843894899,0.3727429535110241,0.4556515030402623,12,0.3546635653146213,0.47545261774615233,True,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
pressure_mode_interaction,deepseek/deepseek-v4-flash,adaptive_minus_static_high_minus_low,percentage_points,601,601,6.322795341098169,1.8302828618968385,10.8153078202995,6,0.33277870216306155,12.312811980033278,True,44a84642aec86b35b748d877cfd06bb2df683c7225a00747d076505ac09d82a2
dialogue_brier,qwen/qwen3-235b-a22b,static_final_minus_initial,brier_0_1,7582,835,0.538460960168821,0.4900369273776483,0.5850930823502198,12,0.4681387177038182,0.6077575569245626,True,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
dialogue_brier,qwen/qwen3-235b-a22b,adaptive_final_minus_initial,brier_0_1,7582,835,0.4636719467159061,0.4216874786342464,0.5041923259192728,12,0.4015593765420292,0.5236726569841748,True,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
pressure_mode_interaction,qwen/qwen3-235b-a22b,adaptive_minus_static_high_minus_low,percentage_points,624,624,17.307692307692307,12.820512820512821,21.794871794871796,6,11.217948717948717,23.397435897435898,True,f7a8210b9ae29d844a5ef31577a3f3227d926dde9aca92ce84d7969268eb86d9
dialogue_brier,qwen/qwen3-32b,static_final_minus_initial,brier_0_1,7728,883,0.42614307712215316,0.3791266013322683,0.47102144432500553,12,0.35906567584348537,0.492820400931852,True,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
dialogue_brier,qwen/qwen3-32b,adaptive_final_minus_initial,brier_0_1,7728,883,0.378753713768116,0.3370677111758219,0.4194857224489126,12,0.31873294259413243,0.4371246735384691,True,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
pressure_mode_interaction,qwen/qwen3-32b,adaptive_minus_static_high_minus_low,percentage_points,516,516,16.27906976744186,11.821705426356589,20.73643410852713,6,10.077519379844961,22.416828165374724,True,79110d27513813b0bbe27ebb57f485540b488dfaf011577252dd50bd898670af
shared_role_gap,GPT_minus_Claude,static_cue_gap_increase,percentage_points,349,349,43.55300859598854,37.249283667621775,49.570200573065904,2,36.38968481375358,50.429799426934096,True,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
shared_role_gap,GPT_minus_Claude,adaptive_cue_gap_increase,percentage_points,349,349,23.20916905444126,16.6189111747851,29.799426934097422,2,15.472779369627506,30.659025787965614,True,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
