model,label,roster,condition,cohort_n,paired_valid_n,excluded_missing_n,judgments,before_abstention_n,after_abstention_n,before_brier,after_brier,change,lower_95,upper_95,cohort_sha256
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,primary,light,1000,1000,0,947,59,62,0.2107614111802091,0.210022432465388,-0.000738978714821112,-0.014750370267011419,0.013117628207842902,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,primary,medium,1000,999,1,946,59,62,0.21097148266287197,0.20605957533946456,-0.00491190732340743,-0.017274036185562475,0.007974622301886702,0d1653c13042ae08e93c0813e09f0a6b113c89a48a318e369e99ff25030d9329
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,primary,heavy,1000,999,1,946,59,62,0.21091615833854768,0.19840171359202485,-0.01251444474652279,-0.025026851437253094,0.0005536541672928191,3a489b636c089cf4becd0ff5266620a42f626bbcbdc5845de6ae772825b38e07
qwen/qwen3-235b-a22b,Qwen3-235B,primary,summary,1000,1000,0,947,146,137,0.18067592700000001,0.18863758779012346,0.007961660790123457,0.001268934313240615,0.01462999043203863,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-235b-a22b,Qwen3-235B,primary,light,1000,1000,0,947,127,141,0.18127445816161186,0.17911676353719452,-0.002157694624417359,-0.006949281838036789,0.0024514001756056904,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-235b-a22b,Qwen3-235B,primary,medium,1000,1000,0,947,127,148,0.18127445816161186,0.17814285680179198,-0.003131601359819853,-0.007956806174044534,0.0016183246582810514,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-235b-a22b,Qwen3-235B,primary,heavy,1000,1000,0,947,127,131,0.18127445816161186,0.17806165345323127,-0.0032128047083805756,-0.0082416319754948,0.0014093920676815682,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-32b,Qwen3-32B,primary,summary,1000,1000,0,947,85,86,0.187731314,0.19896494475308643,0.01123363075308642,0.003753052030409763,0.018859957153486633,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-32b,Qwen3-32B,primary,light,1000,1000,0,947,80,71,0.19584230690632085,0.19751657524925992,0.001674268342939028,-0.0038839871607168784,0.0071369979525894795,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-32b,Qwen3-32B,primary,medium,1000,1000,0,947,80,68,0.19584230690632085,0.1998721499138637,0.004029843007542832,-0.0014894546431888814,0.010140988112792024,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
qwen/qwen3-32b,Qwen3-32B,primary,heavy,1000,1000,0,947,80,81,0.19584230690632085,0.19885727589660496,0.003014968990284075,-0.002742117877800433,0.009057771713634704,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4o-mini,GPT-4o mini,earlier,summary,1000,1000,0,947,89,51,0.18244702499999998,0.19914042499999998,0.016693399999999997,0.008477395993047705,0.023841681140616234,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4o-mini,GPT-4o mini,earlier,light,1000,1000,0,947,79,66,0.1839138,0.18629194999999998,0.002378150000000001,-0.0019685613682092567,0.00659335914646926,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4o-mini,GPT-4o mini,earlier,medium,1000,1000,0,947,79,70,0.1839138,0.186204425,0.002290625000000001,-0.0020827132738395547,0.006704220581446385,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4o-mini,GPT-4o mini,earlier,heavy,1000,1000,0,947,79,68,0.1839138,0.18370750000000002,-0.00020629999999999827,-0.004718346790102857,0.004325553767242733,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4.1-mini,GPT-4.1 mini,earlier,summary,1000,1000,0,947,108,68,0.184168875,0.199361875,0.015193000000000003,0.005017934404866975,0.024795382602193414,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4.1-mini,GPT-4.1 mini,earlier,light,1000,1000,0,947,74,84,0.193330984,0.18824582600000003,-0.0050851579999999985,-0.011647690489430419,0.001208262489756839,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4.1-mini,GPT-4.1 mini,earlier,medium,1000,1000,0,947,74,83,0.193330984,0.191422914,-0.0019080699999999985,-0.008775583553723073,0.005528281579609234,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-4.1-mini,GPT-4.1 mini,earlier,heavy,1000,1000,0,947,74,84,0.193330984,0.19109559999999998,-0.0022353839999999982,-0.009104400496506862,0.004872678785973183,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
