item_id,article
001-170456,7
001-170467,3
001-171486,6
001-171489,11
001-171994,3
001-172091,13
001-172100,8
001-172459,3
001-172460,2
001-172463,6
001-172656,3
001-172665,3
001-172665,5
001-172855,3
001-173089,6
001-173091,8
001-173103,8
001-173369,10
001-173498,P7-4
001-173624,6
001-173802,34
001-174119,6
001-174386,6
001-174389,6
001-174404,10
001-174413,P1-1
001-174414,6
001-174419,10
001-174424,3
001-174814,6
001-174965,2
001-174997,13
001-175121,10
001-175155,6
001-175645,5
001-175646,6
001-175658,6
001-175667,6
001-176765,6
001-176838,5
001-176964,6
001-176969,6
001-177080,8
001-177118,13
001-177124,6
001-177349,10
001-177650,3
001-178182,6
001-178352,6
001-178362,8
001-178372,6
001-178700,6
001-178701,10
001-178877,8
001-178904,8
001-178921,2
001-178921,3
001-179216,14
001-179867,6
001-179878,6
001-180281,6
001-180288,P1-1
001-180296,8
001-180505,8
001-180841,P1-1
001-180843,P1-1
001-181202,8
001-181278,P1-1
001-181393,2
001-181394,5
001-181584,8
001-181595,10
001-181847,3
001-181859,6
001-181882,3
001-182853,6
001-183126,5
001-183337,6
001-183338,3
001-183373,8
001-183376,6
001-183395,6
001-183395,P1-1
001-183542,6
001-183558,3
001-183817,6
001-184651,13
001-184651,P1-1
001-184671,3
001-184673,3
001-185308,6
001-186116,8
001-186117,10
001-186126,5
001-186424,P1-1
001-186770,6
001-187195,6
001-187200,14
001-187251,5
001-187455,12
001-187474,8
001-187476,7
001-187510,6
001-187574,13
001-187931,8
001-188360,P1-1
001-188991,14
001-188997,7
001-189092,6
001-189092,P1-1
001-189589,6
001-189741,6
001-189786,13
001-189786,6
001-189795,P1-1
001-191487,5
001-191721,3
001-192202,P7-4
001-192424,10
001-192787,6
001-192892,P1-1
001-192983,P1-1
001-192985,8
001-193083,6
001-193251,6
001-193259,6
001-193590,3
001-193870,6
001-194001,6
001-194106,8
001-194240,3
001-194241,6
001-195540,6
001-195861,6
001-195869,13
001-195909,8
001-196149,6
001-196152,3
001-196421,P1-1
001-196423,8
001-196680,6
001-196836,5
001-196879,6
001-196887,6
001-197215,P12-1
001-198472,8
001-198718,6
001-198885,P1-1
001-199381,8
001-199382,8
001-200434,6
001-200450,P1-1
001-200547,2
001-200815,6
001-201139,6
001-201329,6
001-201351,2
001-201531,6
001-201738,P1-1
001-202411,13
001-202411,6
001-202524,14
001-202524,2
001-202524,38
001-202529,P1-1
001-202531,3
001-202619,5
001-202622,3
001-203165,9
001-203187,3
001-203492,8
001-203645,3
001-203885,13
001-203885,P1-3
001-203976,13
001-204584,18
001-204584,5
001-204584,6
001-204584,8
001-204601,6
001-204602,3
001-204812,6
001-205166,6
001-205170,8
001-205538,3
001-206159,6
001-206345,3
001-206504,6
001-207136,8
001-207366,6
001-207667,14
001-207695,8
001-207806,5
001-207848,P1-1
001-207849,P1-1
001-207850,P1-1
001-208280,10
001-208447,34
001-208547,6
001-208589,3
001-208592,2
001-208764,P1-1
001-209035,8
001-209152,3
001-209154,13
001-209358,6
001-209373,3
001-209520,3
001-209992,8
001-210046,5
001-210078,8
001-210089,P1-3
001-210257,P1-3
001-210282,13
001-210332,11
001-210413,11
001-210537,2
001-210680,5
001-210689,6
001-211017,13
001-211020,9
001-211138,6
001-211596,P7-4
001-211777,10
001-211795,8
001-211814,11
001-212150,8
001-212829,P7-4
001-212843,3
001-212970,8
001-213203,14
001-213406,8
001-213407,8
001-213522,8
001-213525,6
001-213529,6
001-213706,13
001-213706,P4-2
001-213730,5
001-213788,10
001-213796,13
001-213853,6
001-213901,6
001-214012,8
001-214047,3
001-214048,3
001-215132,13
001-215132,P1-1
001-215166,6
001-215170,3
001-215176,8
001-215177,8
001-215708,6
001-215716,14
001-215735,6
001-215913,6
001-216184,6
001-216196,P1-1
001-216348,8
001-216349,P1-1
001-216352,5
001-216454,8
001-216463,11
001-216464,14
001-216535,6
001-216686,6
001-216720,5
001-217039,10
001-217415,P1-1
001-217436,14
001-217605,6
001-218022,8
001-218074,P7-4
001-218131,P1-1
001-218132,8
001-218941,14
001-219068,2
001-219220,6
001-219226,8
001-219500,3
001-219556,6
001-219641,P1-1
001-219944,6
001-219946,6
001-219984,14
001-219988,2
001-220013,14
001-220164,6
001-220415,6
001-220537,8
001-220665,6
001-220712,2
001-220866,10
001-220885,8
001-220887,6
001-221266,8
001-221480,6
001-221503,14
001-221637,6
001-221637,P1-1
001-222134,P1-1
001-222312,10
001-222775,6
001-222790,6
001-222894,P1-1
001-222898,5
001-222915,P1-1
001-223027,8
001-223259,10
001-223278,P1-1
001-223284,P1-1
001-223380,8
001-223435,6
001-223716,P4-4
001-224091,8
001-224365,2
001-224366,8
001-224505,6
001-224554,7
001-224580,P1-1
001-224732,8
001-224734,8
001-224776,13
001-224776,6
001-224963,8
001-225318,6
001-225329,14
001-225652,8
001-225807,34
001-226011,14
001-226093,6
001-226195,8
001-226474,P1-1
001-227719,3
001-228118,13
001-228151,3
001-228155,8
001-228167,5
001-228357,3
001-228530,10
001-228840,P1-1
001-228857,13
001-228861,P1-1
001-228992,5
001-229125,5
001-229134,3
001-229134,8
001-229325,2
001-229726,11
001-230260,P1-1
001-230271,3
001-230281,6
001-230627,P1-1
001-230725,6
001-230729,6
001-230739,13
001-231078,34
001-231088,P1-1
001-231227,9
001-231331,14
001-231333,P1-1
001-233111,P1-3
001-233206,6
001-233213,5
001-233215,6
001-233231,6
001-233378,10
001-233381,P1-1
001-233409,3
001-233412,3
001-233495,3
001-233652,6
001-233686,8
001-233761,6
001-233937,P4-2
001-234008,3
001-234129,2
001-234259,3
001-234516,5
001-234522,2
001-234604,6
001-235034,6
001-235346,6
001-235470,10
001-235475,8
001-235491,5
001-235491,8
001-235692,8
001-235896,P1-1
001-236132,6
001-236140,8
001-236179,8
001-237290,3
001-237290,5
001-237294,3
001-237435,6
001-237438,3
001-237504,6
001-237797,6
001-237808,P1-1
001-237811,14
001-237954,8
001-237959,8
001-237960,P1-1
001-238009,6
001-238072,6
001-238270,8
001-238515,6
001-238658,13
001-238658,2
001-238661,6
001-238788,6
001-238843,P1-1
001-240184,6
001-240242,5
001-241743,8
001-241871,8
001-241986,4
001-242058,3
001-242059,P1-1
001-242073,13
001-242521,13
001-242534,6
001-242757,P1-1
001-242762,6
001-242768,6
001-242788,8
001-242855,P1-1
001-242857,6
001-243081,P1-1
001-243363,6
001-243562,14
001-243781,P1-1
001-243782,8
001-243885,14
001-243885,3
001-243887,10
001-244000,8
001-244588,P7-2
001-244592,9
001-244593,14
001-244593,3
001-244594,13
001-244594,6
001-244894,P1-1
001-245104,P1-3
001-245246,6
001-245279,P1-1
001-245390,8
001-245444,8
001-245460,13
001-245460,6
001-245463,13
001-245684,8
001-245686,3
001-245690,6
001-245701,8
001-245708,6
001-245810,P1-1
001-246017,6
001-247556,10
001-247564,13
001-247564,8
001-247822,6
001-247827,14
001-247827,3
001-247833,8
001-247913,3
001-248198,8
001-248201,P1-1
001-248392,6
001-248592,3
001-248598,8
001-248636,P12-1
001-248682,5
001-249134,6
001-249223,3
001-249345,6
001-249380,8
001-249515,P4-2
001-249530,6
001-249531,8
001-249581,5
001-249691,3
001-249964,8
001-249970,2
001-250107,5
001-250111,6
001-250112,5
